val_age|val_1000qx
40|0.953
41|1.065
42|1.201
43|1.362
44|1.547
45|1.752
46|1.974
47|2.211
48|2.46
49|2.721
50|2.994
51|3.279
52|3.576
53|3.884
54|4.203
55|4.534
56|4.876
57|5.228
58|5.593
59|5.988
60|6.428
61|6.933
62|7.52
63|8.207
64|9.008
65|9.94
66|11.016
67|12.251
68|13.657
69|15.233
70|16.979
71|18.891
72|20.967
73|23.209
74|25.644
75|28.304
76|31.22
77|34.425
78|37.948
79|41.812
80|46.037
81|50.643
82|55.651
83|61.08
84|66.948
85|73.275
86|80.076
87|87.37
88|95.169
89|103.455
90|112.208
91|121.402
92|131.017
93|141.03
94|151.422
95|162.179
96|173.279
97|184.706
98|196.946
99|210.484
100|225.806
101|243.398
102|263.745
103|287.334
104|314.639
105|346.177
106|382.403
107|423.813
108|470.893
109|524.128
110|584.004
111|651.007
112|725.622
113|808.336
114|899.633
115|1000
