Date, Open, High, Low, Close, Volume
09/24/21, 4.61, 4.7099, 4.52, 4.69, 439375
09/23/21, 4.46, 4.545, 4.42, 4.52, 349199
09/22/21, 4.59, 4.60, 4.42, 4.51, 507792
09/21/21, 4.60, 4.65, 4.475, 4.64, 747140
09/20/21, 4.72, 4.82, 4.5799, 4.64, 1243291
09/17/21, 4.48, 4.59, 4.41, 4.58, 357452
09/16/21, 4.48, 4.54, 4.3801, 4.44, 303333
09/15/21, 4.48, 4.55, 4.40, 4.45, 209819
09/14/21, 4.43, 4.5794, 4.41, 4.50, 192179
09/13/21, 4.50, 4.5177, 4.3601, 4.47, 513547
09/10/21, 4.34, 4.57, 4.34, 4.56, 560878
09/09/21, 4.20, 4.39, 4.19, 4.39, 381563
09/08/21, 4.24, 4.25, 4.095, 4.12, 205829
09/07/21, 4.10, 4.2801, 4.10, 4.20, 493665
09/03/21, 4.07, 4.18, 4.045, 4.06, 339073
09/02/21, 4.10, 4.1977, 4.0501, 4.07, 217220
09/01/21, 4.30, 4.32, 4.115, 4.13, 420979
08/31/21, 4.41, 4.45, 4.315, 4.34, 350244
08/30/21, 4.51, 4.55, 4.3901, 4.40, 225029
08/27/21, 4.66, 4.66, 4.48, 4.53, 337222
08/26/21, 4.69, 4.74, 4.63, 4.69, 127544
08/25/21, 4.66, 4.73, 4.60, 4.68, 151900
08/24/21, 4.59, 4.72, 4.59, 4.68, 143418
08/23/21, 4.55, 4.65, 4.53, 4.62, 205491
08/20/21, 4.70, 4.76, 4.531, 4.59, 152320
08/19/21, 4.81, 4.83, 4.64, 4.66, 523964
08/18/21, 4.62, 4.73, 4.62, 4.73, 180792
08/17/21, 4.64, 4.71, 4.59, 4.60, 298394
08/16/21, 4.60, 4.61, 4.51, 4.59, 179099
08/13/21, 4.64, 4.65, 4.56, 4.56, 139031
08/12/21, 4.64, 4.70, 4.635, 4.64, 68916
08/11/21, 4.74, 4.75, 4.66, 4.67, 138159
08/10/21, 4.61, 4.78, 4.60, 4.77, 193895
08/09/21, 4.55, 4.65, 4.55, 4.63, 137930
08/06/21, 4.49, 4.5697, 4.46, 4.54, 171637
08/05/21, 4.65, 4.65, 4.53, 4.53, 192294
08/04/21, 4.67, 4.745, 4.60, 4.70, 137063
08/03/21, 4.63, 4.75, 4.63, 4.655, 249004
08/02/21, 4.59, 4.6899, 4.46, 4.67, 257038
07/30/21, 4.69, 4.69, 4.46, 4.64, 442506
07/29/21, 4.60, 4.67, 4.52, 4.67, 194032
07/28/21, 4.59, 4.7084, 4.57, 4.65, 161574
07/27/21, 4.74, 4.7693, 4.581, 4.60, 204253
07/26/21, 4.70, 4.79, 4.67, 4.69, 204926
07/23/21, 4.80, 4.8099, 4.6833, 4.69, 99555
07/22/21, 4.75, 4.89, 4.75, 4.82, 186414
07/21/21, 4.70, 4.721, 4.62, 4.70, 217702
07/20/21, 5.06, 5.06, 4.65, 4.71, 504176
07/19/21, 5.00, 5.18, 4.95, 5.09, 545195
07/16/21, 4.77, 4.81, 4.68, 4.80, 147292
07/15/21, 4.88, 4.88, 4.78, 4.80, 155640
07/14/21, 4.96, 4.96, 4.77, 4.83, 216182
07/13/21, 4.76, 4.9799, 4.76, 4.95, 215698
07/12/21, 4.87, 4.89, 4.71, 4.72, 275893
07/09/21, 5.05, 5.06, 4.84, 4.84, 218856
07/08/21, 5.25, 5.27, 5.045, 5.11, 257162
07/07/21, 5.09, 5.17, 5.01, 5.08, 134244
07/06/21, 5.18, 5.339, 5.08, 5.10, 133945
07/02/21, 5.20, 5.28, 5.15, 5.24, 101904
07/01/21, 5.35, 5.399, 5.15, 5.29, 133866
06/30/21, 5.307, 5.369, 5.18, 5.31, 96066
06/29/21, 5.16, 5.2671, 5.12, 5.25, 160028
06/28/21, 5.11, 5.36, 5.11, 5.23, 118644
06/25/21, 5.27, 5.30, 5.16, 5.19, 128858
06/24/21, 5.20, 5.37, 5.20, 5.30, 116649
06/23/21, 5.24, 5.26, 5.161, 5.24, 70618
06/22/21, 5.11, 5.23, 5.11, 5.20, 211932
06/21/21, 5.44, 5.47, 5.10, 5.13, 439713
06/18/21, 5.35, 5.47, 5.241, 5.47, 393620
06/17/21, 5.31, 5.33, 5.191, 5.21, 231758
06/16/21, 5.10, 5.24, 4.99, 5.24, 360551
06/15/21, 4.97, 5.10, 4.96, 5.09, 281322
06/14/21, 5.02, 5.029, 4.93, 4.93, 160849
06/11/21, 4.96, 5.07, 4.95, 5.0099, 174661
06/10/21, 5.00, 5.06, 4.91, 4.95, 194602
06/09/21, 5.02, 5.0895, 4.98, 5.03, 265993
06/08/21, 5.17, 5.22, 5.0301, 5.08, 246147
06/07/21, 5.35, 5.3686, 5.1301, 5.21, 475297
06/04/21, 5.36, 5.45, 5.3201, 5.38, 160956
06/03/21, 5.42, 5.48, 5.35, 5.37, 214205
06/02/21, 5.53, 5.54, 5.33, 5.35, 273216
06/01/21, 5.79, 5.84, 5.53, 5.5687, 300159
05/28/21, 5.94, 5.94, 5.81, 5.85, 198656
05/27/21, 5.91, 5.98, 5.87, 5.98, 170288
05/26/21, 6.01, 6.01, 5.82, 5.91, 229191
05/25/21, 6.00, 6.07, 5.93, 6.00, 206285
05/24/21, 6.21, 6.21, 5.93, 6.0099, 194786
05/21/21, 6.15, 6.25, 6.12, 6.2113, 97735
05/20/21, 6.41, 6.47, 6.145, 6.22, 153211
05/19/21, 6.57, 6.69, 6.41, 6.44, 360458
05/18/21, 6.37, 6.454, 6.23, 6.36, 119047
05/17/21, 6.38, 6.4844, 6.3206, 6.35, 133556
05/14/21, 6.46, 6.52, 6.32, 6.35, 196420
05/13/21, 6.82, 6.8283, 6.485, 6.62, 291727
05/12/21, 6.51, 6.90, 6.41, 6.89, 476902
05/11/21, 6.3402, 6.56, 6.3402, 6.41, 236157
05/10/21, 6.18, 6.19, 5.95, 6.19, 157892
05/07/21, 6.42, 6.42, 6.15, 6.17, 113235
05/06/21, 6.57, 6.599, 6.40, 6.425, 142455
05/05/21, 6.21, 6.60, 6.21, 6.55, 181758
05/04/21, 6.22, 6.33, 6.05, 6.242, 166712
05/03/21, 6.00, 6.1323, 5.985, 6.10, 164088
04/30/21, 6.19, 6.22, 6.03, 6.08, 86122
04/29/21, 6.21, 6.25, 6.0681, 6.15, 109336
04/28/21, 6.25, 6.31, 6.1801, 6.29, 101465
04/27/21, 6.20, 6.2975, 6.20, 6.25, 66340
04/26/21, 6.32, 6.32, 6.1501, 6.22, 159147
04/23/21, 6.41, 6.47, 6.28, 6.33, 147338
04/22/21, 6.33, 6.4507, 6.2501, 6.43, 121416
04/21/21, 6.50, 6.51, 6.28, 6.32, 135924
04/20/21, 6.66, 6.72, 6.42, 6.47, 196993
04/19/21, 6.67, 6.7753, 6.6201, 6.6201, 76678
04/16/21, 6.65, 6.73, 6.603, 6.65, 91152
04/15/21, 6.98, 6.98, 6.705, 6.71, 131916
04/14/21, 6.92, 7.10, 6.8426, 7.10, 80594
04/13/21, 7.07, 7.1158, 6.94, 6.97, 161838
04/12/21, 7.21, 7.33, 7.08, 7.08, 65400
04/09/21, 7.20, 7.2581, 7.1525, 7.20, 94156
04/08/21, 7.10, 7.20, 7.01, 7.16, 113136
04/07/21, 7.17, 7.28, 7.031, 7.14, 73778
04/06/21, 7.12, 7.24, 7.11, 7.11, 56046
04/05/21, 7.06, 7.37, 7.06, 7.15, 95051
04/01/21, 7.52, 7.6186, 7.23, 7.23, 70455
03/31/21, 7.52, 7.742, 7.43, 7.66, 118462
03/30/21, 7.53, 7.64, 7.461, 7.57, 111733
03/29/21, 7.52, 7.74, 7.43, 7.56, 98856
03/26/21, 7.85, 7.85, 7.40, 7.44, 168774
03/25/21, 8.25, 8.48, 7.89, 7.96, 110865
03/24/21, 8.02, 8.20, 7.86, 8.20, 68611
03/23/21, 8.08, 8.18, 7.875, 8.09, 55518
03/22/21, 8.20, 8.25, 7.97, 8.04, 57621
03/19/21, 7.85, 8.18, 7.79, 8.18, 136266
03/18/21, 7.77, 7.95, 7.711, 7.88, 142904
03/17/21, 7.74, 7.91, 7.63, 7.645, 224080
03/16/21, 7.57, 7.7573, 7.53, 7.68, 140340
03/15/21, 7.89, 8.00, 7.51, 7.56, 187038
03/12/21, 8.42, 8.42, 7.92, 7.94, 145218
03/11/21, 8.46, 8.60, 8.20, 8.33, 134503
03/10/21, 8.79, 8.87, 8.48, 8.64, 107937
03/09/21, 8.83, 8.92, 8.705, 8.92, 153678
03/08/21, 9.28, 9.3607, 8.81, 9.10, 175926
03/05/21, 9.41, 10.14, 9.23, 9.32, 245000
03/04/21, 9.27, 9.96, 9.14, 9.64, 167424
03/03/21, 9.22, 9.395, 9.09, 9.38, 157598
03/02/21, 8.89, 9.3599, 8.89, 9.16, 157382
03/01/21, 8.71, 8.95, 8.42, 8.92, 126545
02/26/21, 8.59, 9.02, 8.55, 9.02, 159897
02/25/21, 8.17, 8.83, 8.049, 8.68, 248218
02/24/21, 8.36, 8.4348, 8.12, 8.21, 177542
02/23/21, 8.54, 8.55, 8.311, 8.3601, 321388
02/22/21, 8.80, 8.887, 8.43, 8.56, 203044
02/19/21, 8.84, 8.90, 8.615, 8.77, 103057
02/18/21, 8.95, 8.9584, 8.83, 8.95, 82202
02/17/21, 8.87, 8.97, 8.7791, 8.83, 86723
02/16/21, 8.59, 8.91, 8.5038, 8.78, 120209
02/12/21, 8.65, 8.77, 8.565, 8.59, 193735
02/11/21, 8.64, 8.725, 8.435, 8.57, 107059
02/10/21, 8.64, 8.74, 8.43, 8.64, 165248
02/09/21, 8.86, 8.927, 8.7217, 8.79, 99866
