Date, Open, High, Low, Close, Volume
09/29/21, 24.48, 25.2638, 24.30, 25.11, 1914630
09/28/21, 24.62, 25.01, 24.153, 24.33, 2687116
09/27/21, 23.59, 23.94, 22.98, 23.91, 1579549
09/24/21, 23.82, 24.08, 23.38, 23.84, 1430739
09/23/21, 22.94, 23.555, 22.91, 23.53, 1939594
09/22/21, 22.35, 22.695, 21.54, 22.65, 2233193
09/21/21, 22.25, 22.77, 21.81, 22.62, 1659737
09/20/21, 22.88, 23.275, 22.535, 22.71, 1711960
09/17/21, 22.37, 22.84, 22.30, 22.57, 1543876
09/16/21, 21.35, 22.465, 21.24, 21.98, 4522473
09/15/21, 20.69, 20.70, 20.03, 20.33, 902897
09/14/21, 20.30, 20.6993, 19.89, 20.32, 1769171
09/13/21, 21.13, 21.23, 20.14, 20.51, 2306498
09/10/21, 20.77, 21.355, 20.58, 21.35, 1333067
09/09/21, 20.09, 21.06, 20.061, 20.77, 1501480
09/08/21, 20.37, 20.87, 20.12, 20.44, 1607105
09/07/21, 19.65, 20.42, 19.4697, 20.29, 1575099
09/03/21, 19.63, 19.7027, 18.915, 19.20, 2459350
09/02/21, 20.29, 20.56, 20.17, 20.17, 1126027
09/01/21, 19.90, 20.35, 19.78, 20.32, 1504716
08/31/21, 20.55, 20.58, 20.01, 20.01, 1761507
08/30/21, 20.07, 20.69, 19.95, 20.62, 1292151
08/27/21, 21.74, 21.8791, 19.9199, 20.04, 3073060
08/26/21, 21.64, 21.77, 21.08, 21.62, 1669229
08/25/21, 21.05, 21.70, 21.00, 21.39, 1707102
08/24/21, 20.53, 20.95, 20.48, 20.82, 1169408
08/23/21, 21.50, 21.92, 20.46, 20.79, 3008299
08/20/21, 22.68, 22.88, 22.23, 22.62, 1661219
08/19/21, 21.85, 22.58, 21.85, 22.51, 2804494
08/18/21, 20.66, 22.05, 20.66, 21.77, 1956051
08/17/21, 20.48, 21.075, 20.27, 20.80, 1402289
08/16/21, 20.05, 20.5199, 19.925, 20.31, 1028299
08/13/21, 20.35, 20.51, 19.89, 20.08, 1907981
08/12/21, 20.57, 21.24, 20.56, 20.92, 1228932
08/11/21, 20.60, 20.67, 20.0084, 20.31, 2503086
08/10/21, 20.75, 21.28, 20.59, 21.17, 1559869
08/09/21, 20.25, 20.67, 19.88, 20.62, 1712065
08/06/21, 19.51, 20.07, 19.42, 19.67, 2339511
08/05/21, 18.04, 18.64, 17.9899, 18.55, 1131280
08/04/21, 17.21, 18.0402, 16.99, 18.02, 1525720
08/03/21, 18.03, 18.1703, 17.685, 17.75, 1262139
08/02/21, 17.92, 18.159, 17.825, 18.00, 1136515
07/30/21, 18.03, 18.12, 17.54, 17.88, 1873091
07/29/21, 18.05, 18.15, 17.435, 17.77, 2256139
07/28/21, 19.49, 19.63, 18.72, 18.75, 1759725
07/27/21, 19.34, 19.75, 19.24, 19.32, 1293560
07/26/21, 20.00, 20.09, 19.19, 19.47, 1351533
07/23/21, 19.85, 20.1943, 19.73, 19.93, 1219391
07/22/21, 19.33, 20.03, 19.32, 19.60, 963039
07/21/21, 20.04, 20.14, 19.265, 19.43, 1171959
07/20/21, 19.58, 20.05, 19.141, 19.79, 1651126
07/19/21, 19.54, 20.24, 19.31, 19.89, 1905613
07/16/21, 18.20, 19.1641, 18.17, 19.09, 1530841
07/15/21, 18.17, 18.34, 17.93, 18.00, 2079402
07/14/21, 17.91, 18.4101, 17.77, 18.19, 1550179
07/13/21, 19.03, 19.12, 18.02, 18.71, 2029366
07/12/21, 18.805, 19.24, 18.45, 19.17, 1520724
07/09/21, 19.34, 19.35, 18.52, 18.67, 1826642
07/08/21, 18.50, 19.76, 18.41, 19.46, 1941623
07/07/21, 18.32, 18.80, 18.26, 18.51, 1298814
07/06/21, 18.01, 18.9397, 17.98, 18.58, 1524466
07/02/21, 18.70, 19.08, 18.48, 18.67, 1370616
07/01/21, 18.62, 19.40, 18.58, 19.18, 1336977
06/30/21, 19.58, 19.71, 18.91, 19.16, 1686631
06/29/21, 19.80, 19.948, 19.19, 19.56, 1508735
06/28/21, 18.78, 19.46, 18.68, 19.18, 1464937
06/25/21, 18.17, 18.90, 18.13, 18.77, 1392777
06/24/21, 18.45, 18.83, 18.35, 18.71, 1535222
06/23/21, 18.05, 18.78, 17.88, 18.74, 2357237
06/22/21, 18.50, 18.70, 18.29, 18.55, 1713587
06/21/21, 18.46, 18.91, 18.1236, 18.32, 2208190
06/18/21, 18.23, 19.065, 18.04, 19.05, 3167154
06/17/21, 17.64, 18.3291, 17.21, 18.19, 4272207
06/16/21, 15.93, 16.5704, 15.575, 16.55, 2632029
06/15/21, 15.48, 16.00, 15.43, 15.83, 1416741
06/14/21, 15.85, 15.9982, 15.2986, 15.48, 2546503
06/11/21, 15.06, 15.369, 14.85, 15.29, 2033619
06/10/21, 15.48, 15.5881, 14.77, 14.78, 2410910
06/09/21, 15.43, 15.57, 15.18, 15.57, 1427973
06/08/21, 15.25, 15.52, 15.11, 15.51, 1719068
06/07/21, 15.16, 15.39, 15.02, 15.06, 1208267
06/04/21, 15.09, 15.22, 14.81, 15.04, 1729759
06/03/21, 15.10, 15.5501, 15.10, 15.44, 3399742
06/02/21, 14.44, 14.595, 14.275, 14.45, 2053288
06/01/21, 14.39, 14.7299, 14.20, 14.44, 1876362
05/28/21, 14.92, 15.0175, 14.53, 14.55, 1672638
05/27/21, 14.70, 14.84, 14.56, 14.74, 1999752
05/26/21, 14.40, 14.69, 14.12, 14.51, 2894840
05/25/21, 14.61, 14.94, 14.35, 14.49, 2890018
05/24/21, 14.60, 14.72, 14.37, 14.54, 1716930
05/21/21, 14.33, 14.92, 14.30, 14.66, 2218221
05/20/21, 14.83, 14.92, 14.27, 14.49, 2542956
05/19/21, 14.6599, 15.15, 14.0401, 14.82, 4415894
05/18/21, 14.35, 14.83, 14.23, 14.42, 3187729
05/17/21, 15.62, 16.0001, 14.2065, 14.38, 6109211
05/14/21, 16.35, 16.46, 15.83, 15.89, 2758662
05/13/21, 16.94, 17.19, 16.52, 16.75, 2859571
05/12/21, 16.24, 16.91, 16.05, 16.74, 3658123
05/11/21, 17.00, 17.13, 16.12, 16.15, 5068322
05/10/21, 15.86, 16.43, 15.65, 16.38, 4450650
05/07/21, 16.38, 16.73, 16.20, 16.35, 3691202
05/06/21, 17.81, 17.83, 16.63, 16.92, 4032906
05/05/21, 18.26, 18.60, 18.05, 18.14, 1832402
05/04/21, 18.06, 18.765, 17.41, 18.39, 2928948
05/03/21, 18.84, 18.92, 17.8281, 18.05, 3191528
04/30/21, 19.35, 19.60, 19.04, 19.54, 1307410
04/29/21, 18.814, 19.51, 18.75, 19.09, 2378789
04/28/21, 19.0189, 19.1719, 18.12, 18.41, 2412780
04/27/21, 17.77, 18.61, 17.77, 18.54, 1837826
04/26/21, 17.74, 18.0502, 17.70, 17.82, 1696131
04/23/21, 17.38, 17.91, 17.26, 17.81, 1715768
04/22/21, 17.27, 17.885, 17.25, 17.62, 2348808
04/21/21, 17.62, 17.76, 17.0899, 17.11, 2388257
04/20/21, 18.2199, 18.22, 17.5814, 17.67, 1768522
04/19/21, 18.05, 18.32, 17.8184, 18.09, 2186680
04/16/21, 17.80, 18.195, 17.7983, 17.91, 2551801
04/15/21, 19.20, 19.32, 17.93, 18.22, 4154691
04/14/21, 19.67, 19.945, 19.33, 19.82, 1923983
04/13/21, 19.72, 19.85, 19.27, 19.58, 2504026
04/12/21, 19.74, 20.41, 19.74, 20.22, 2348383
04/09/21, 20.12, 20.24, 19.35, 19.38, 2597056
04/08/21, 19.64, 19.76, 19.2798, 19.42, 2720395
04/07/21, 20.13, 20.4687, 19.93, 20.36, 2384270
04/06/21, 20.20, 20.33, 19.5999, 19.99, 2555389
04/05/21, 20.84, 21.08, 20.30, 20.68, 3090778
04/01/21, 21.62, 21.84, 20.78, 20.79, 3068372
03/31/21, 23.17, 23.23, 21.885, 22.33, 2906723
03/30/21, 23.09, 23.53, 22.7499, 23.30, 1969624
03/29/21, 22.43, 22.95, 21.82, 21.82, 2220163
03/26/21, 22.89, 22.92, 21.99, 22.06, 2138293
03/25/21, 22.70, 23.24, 22.39, 22.79, 2285167
03/24/21, 22.21, 22.73, 22.06, 22.69, 1748810
03/23/21, 21.50, 22.36, 21.45, 22.23, 2788287
03/22/21, 21.09, 21.16, 20.60, 21.11, 2356204
03/19/21, 20.81, 21.21, 20.65, 20.74, 1987852
03/18/21, 21.17, 21.19, 20.41, 21.04, 2703074
03/17/21, 21.50, 21.86, 19.98, 20.33, 3990396
03/16/21, 21.03, 21.44, 20.94, 21.21, 2923130
03/15/21, 21.59, 21.69, 20.9491, 21.05, 2887359
03/12/21, 22.94, 23.10, 21.72, 21.81, 3689505
03/11/21, 22.37, 22.57, 21.78, 21.89, 3667154
03/10/21, 22.74, 23.16, 22.41, 22.69, 3130211
03/09/21, 22.61, 23.18, 21.96, 22.89, 4447491
03/08/21, 24.05, 24.565, 23.67, 24.31, 3188699
03/05/21, 24.25, 25.06, 23.58, 23.64, 3943548
