Date, Open, High, Low, Close, Volume
09/24/21, 441.44, 444.67, 441.21, 443.91, 62094840
09/23/21, 439.85, 444.89, 439.60, 443.18, 76395984
09/22/21, 436.05, 440.03, 433.747, 437.86, 102350094
09/21/21, 436.53, 437.91, 433.07, 433.63, 92526109
09/20/21, 434.88, 436.56, 428.86, 434.04, 166445500
09/17/21, 444.92, 445.37, 441.02, 441.40, 118425000
09/16/21, 447.32, 448.36, 444.02, 447.17, 77786734
09/15/21, 444.62, 448.41, 443.44, 447.88, 78792227
09/14/21, 448.12, 448.34, 443.22, 444.17, 78197133
09/13/21, 448.64, 448.92, 444.11, 446.58, 83738648
09/10/21, 451.04, 451.49, 445.31, 445.44, 89948172
09/09/21, 450.70, 452.57, 448.72, 448.98, 57970406
09/08/21, 450.89, 451.67, 448.86, 450.91, 56181910
09/07/21, 452.71, 452.81, 450.7423, 451.46, 51671527
09/03/21, 451.98, 453.63, 451.55, 453.08, 47234359
09/02/21, 453.32, 454.05, 451.91, 453.19, 42830871
09/01/21, 452.56, 453.11, 451.545, 451.80, 48721379
08/31/21, 452.13, 452.49, 450.92, 451.56, 59300207
08/30/21, 450.97, 453.07, 450.71, 452.23, 48357359
08/27/21, 447.12, 450.65, 447.06, 450.25, 77235109
08/26/21, 448.61, 448.86, 446.16, 446.26, 57829566
08/25/21, 448.17, 449.457, 447.77, 448.91, 40529711
08/24/21, 447.97, 448.54, 447.42, 447.97, 38744711
08/23/21, 445.16, 448.23, 443.4355, 447.26, 54973039
08/20/21, 440.23, 443.71, 439.71, 443.36, 72008711
08/19/21, 436.27, 441.14, 436.12, 439.86, 92812250
08/18/21, 442.96, 444.625, 438.92, 439.18, 89351930
08/17/21, 444.24, 444.96, 440.85, 444.04, 92673930
08/16/21, 444.53, 447.11, 442.87, 446.97, 73930867
08/13/21, 445.59, 445.94, 445.07, 445.92, 39470246
08/12/21, 443.62, 445.2572, 442.66, 445.11, 38942422
08/11/21, 443.82, 443.882, 442.62, 443.78, 44034340
08/10/21, 442.61, 443.44, 441.88, 442.68, 43339281
08/09/21, 442.46, 442.795, 441.31, 442.13, 41222594
08/06/21, 442.10, 442.94, 441.80, 442.49, 46930008
08/05/21, 440.22, 441.85, 439.88, 441.76, 38969660
08/04/21, 439.78, 441.1243, 438.73, 438.98, 46732207
08/03/21, 438.44, 441.28, 436.10, 441.15, 58053898
08/02/21, 440.34, 440.93, 437.21, 437.59, 58783301
07/30/21, 437.91, 440.06, 437.77, 438.51, 68951203
07/29/21, 439.815, 441.80, 439.81, 440.65, 47435340
07/28/21, 439.68, 440.30, 437.31, 438.83, 52472359
07/27/21, 439.91, 439.94, 435.99, 439.01, 67397133
07/26/21, 439.31, 441.03, 439.26, 441.02, 43719191
07/23/21, 437.52, 440.30, 436.79, 439.94, 63766641
07/22/21, 434.74, 435.72, 433.69, 435.46, 47878539
07/21/21, 432.34, 434.70, 431.0111, 434.55, 64724391
07/20/21, 425.68, 432.42, 424.83, 431.06, 99608172
07/19/21, 426.19, 431.4089, 421.97, 424.97, 147987016
07/16/21, 436.01, 436.06, 430.92, 431.34, 75874656
07/15/21, 434.81, 435.53, 432.72, 434.75, 55126359
07/14/21, 437.40, 437.92, 434.91, 436.24, 64130352
07/13/21, 436.24, 437.84, 435.31, 435.59, 52911312
07/12/21, 435.43, 437.35, 434.97, 437.08, 52889594
