Date, Open, High, Low, Close, Volume
09/24/21, 32.73, 33.4501, 32.73, 33.31, 123991
09/23/21, 31.19, 32.41, 31.15, 32.39, 116951
09/22/21, 30.94, 31.14, 30.38, 30.38, 100610
09/21/21, 31.00, 31.26, 30.85, 30.89, 39480
09/20/21, 31.11, 31.32, 30.591, 30.81, 156609
09/17/21, 31.96, 32.30, 31.96, 32.00, 86077
09/16/21, 31.74, 31.7894, 31.24, 31.56, 79327
09/15/21, 30.73, 31.52, 30.73, 31.13, 39238
09/14/21, 31.64, 31.75, 30.56, 30.84, 205300
09/13/21, 32.07, 32.16, 31.86, 31.92, 72342
09/10/21, 32.27, 32.738, 32.0963, 32.53, 57687
09/09/21, 32.70, 32.96, 31.63, 31.75, 103992
09/08/21, 33.10, 33.26, 32.7401, 32.93, 36108
09/07/21, 33.41, 33.76, 33.263, 33.58, 89085
09/03/21, 32.73, 32.92, 32.61, 32.79, 105818
09/02/21, 32.099, 32.44, 31.90, 31.95, 63069
09/01/21, 32.09, 32.56, 32.035, 32.36, 47063
08/31/21, 31.98, 32.67, 31.72, 32.44, 79520
08/30/21, 32.39, 32.39, 31.84, 31.89, 66131
08/27/21, 32.73, 32.8779, 32.13, 32.16, 110950
08/26/21, 33.10, 33.3879, 32.74, 32.74, 95772
08/25/21, 32.30, 33.35, 32.20, 33.04, 122973
08/24/21, 31.93, 32.2564, 31.80, 32.234, 60123
08/23/21, 31.78, 31.8555, 31.53, 31.57, 64548
08/20/21, 31.44, 31.7101, 31.33, 31.52, 35302
08/19/21, 31.64, 31.93, 31.54, 31.54, 115801
08/18/21, 32.69, 32.849, 32.20, 32.26, 61479
08/17/21, 32.60, 32.71, 32.2024, 32.54, 101126
08/16/21, 32.38, 32.6167, 31.88, 32.58, 114959
08/13/21, 34.00, 34.00, 32.81, 32.86, 144614
08/12/21, 34.50, 34.965, 34.27, 34.38, 74275
08/11/21, 34.30, 34.73, 33.63, 34.25, 171232
08/10/21, 33.58, 34.22, 33.51, 34.20, 140993
08/09/21, 33.17, 33.73, 32.851, 33.69, 197956
08/06/21, 33.01, 33.48, 32.7932, 33.39, 196010
08/05/21, 31.48, 31.90, 31.42, 31.77, 73633
08/04/21, 31.007, 32.14, 30.86, 31.33, 109619
08/03/21, 31.50, 31.7133, 31.23, 31.51, 72876
08/02/21, 32.35, 32.43, 31.23, 31.60, 231796
07/30/21, 32.69, 32.76, 32.32, 32.43, 122090
07/29/21, 32.93, 33.075, 32.7279, 32.92, 70116
07/28/21, 33.06, 33.10, 32.35, 32.35, 53013
07/27/21, 32.62, 32.74, 32.355, 32.4005, 107046
07/26/21, 32.82, 33.52, 32.82, 33.47, 86358
07/23/21, 33.55, 33.56, 33.10, 33.16, 63796
07/22/21, 33.56, 33.56, 32.32, 32.56, 101576
07/21/21, 33.41, 33.97, 33.22, 33.48, 298761
07/20/21, 30.72, 32.39, 30.59, 32.26, 243053
07/19/21, 31.72, 31.88, 30.97, 31.37, 390008
07/16/21, 34.12, 34.12, 33.485, 33.56, 94626
07/15/21, 33.71, 34.38, 33.30, 33.37, 160214
07/14/21, 35.20, 35.265, 34.48, 34.50, 95676
07/13/21, 34.61, 36.15, 34.12, 35.76, 188543
07/12/21, 34.42, 35.085, 34.35, 35.00, 133125
07/09/21, 34.59, 34.84, 34.525, 34.81, 143597
07/08/21, 33.20, 33.69, 32.812, 33.41, 228302
07/07/21, 34.08, 34.33, 33.44, 33.82, 188859
07/06/21, 35.53, 35.53, 34.6003, 34.78, 257196
07/02/21, 36.61, 36.67, 36.03, 36.05, 57571
07/01/21, 36.80, 37.16, 36.64, 36.67, 51003
06/30/21, 36.73, 36.90, 36.2245, 36.73, 123823
06/29/21, 37.63, 37.63, 37.17, 37.19, 19482
06/28/21, 37.99, 38.0062, 37.1895, 37.39, 70951
06/25/21, 37.58, 39.10, 37.58, 38.58, 75579
06/24/21, 37.43, 37.48, 37.12, 37.45, 38245
06/23/21, 37.72, 38.00, 37.38, 37.60, 99640
06/22/21, 38.44, 38.52, 37.27, 37.31, 123610
06/21/21, 36.75, 37.78, 36.725, 37.57, 210516
06/18/21, 36.84, 37.06, 35.65, 35.84, 212941
06/17/21, 38.90, 39.0887, 36.35, 37.88, 340930
06/16/21, 39.36, 40.27, 39.15, 39.76, 205023
06/15/21, 39.77, 40.05, 39.53, 39.60, 114783
06/14/21, 38.82, 39.6524, 38.765, 39.49, 129776
06/11/21, 38.63, 38.955, 38.53, 38.63, 128611
06/10/21, 39.78, 39.915, 38.38, 38.40, 174307
06/09/21, 38.98, 39.503, 38.735, 39.18, 365238
06/08/21, 39.92, 40.365, 39.92, 40.19, 162655
06/07/21, 40.96, 41.1499, 40.85, 41.07, 131438
06/04/21, 41.94, 41.94, 40.69, 40.71, 211954
06/03/21, 41.93, 42.52, 41.93, 42.40, 96704
06/02/21, 41.95, 42.099, 41.67, 41.91, 110882
06/01/21, 42.22, 43.15, 41.90, 42.12, 203272
05/28/21, 42.23, 42.23, 41.50, 42.19, 124749
05/27/21, 42.09, 42.5899, 42.00, 42.03, 146712
05/26/21, 41.23, 41.78, 40.92, 41.51, 203046
05/25/21, 42.01, 42.05, 41.21, 41.27, 191753
05/24/21, 42.73, 42.787, 42.1181, 42.54, 279488
05/21/21, 42.97, 43.54, 42.9109, 42.98, 113444
05/20/21, 43.88, 43.88, 43.13, 43.35, 133463
05/19/21, 43.98, 44.96, 43.34, 44.37, 140564
05/18/21, 44.12, 44.50, 44.00, 44.06, 362352
05/17/21, 43.75, 44.03, 43.48, 43.80, 349637
05/14/21, 44.09, 44.34, 43.53, 43.53, 271342
05/13/21, 44.67, 44.979, 44.25, 44.74, 195361
05/12/21, 43.94, 45.20, 43.78, 44.91, 330433
05/11/21, 43.44, 43.79, 43.2058, 43.57, 173116
05/10/21, 41.87, 42.99, 41.67, 42.82, 121842
05/07/21, 40.83, 41.85, 40.415, 41.52, 271394
05/06/21, 41.59, 41.59, 40.72, 41.07, 136981
05/05/21, 41.80, 41.9457, 41.12, 41.22, 107224
05/04/21, 41.36, 41.7694, 40.64, 41.39, 193982
05/03/21, 42.11, 42.7695, 41.20, 42.21, 108269
04/30/21, 42.45, 42.93, 42.30, 42.31, 100345
04/29/21, 43.45, 43.74, 42.62, 42.64, 77951
04/28/21, 42.37, 42.975, 42.18, 42.26, 80190
04/27/21, 41.48, 42.465, 41.31, 42.33, 77460
04/26/21, 41.06, 41.27, 40.7481, 41.27, 69602
04/23/21, 40.87, 41.57, 40.80, 41.23, 84602
04/22/21, 41.15, 41.8123, 40.88, 40.89, 106845
04/21/21, 41.60, 42.00, 41.26, 41.37, 70546
04/20/21, 42.57, 42.595, 41.42, 41.59, 126938
04/19/21, 42.34, 42.50, 41.855, 42.27, 103075
04/16/21, 42.08, 42.17, 41.50, 41.90, 151684
04/15/21, 41.71, 41.73, 40.399, 40.96, 246455
04/14/21, 43.12, 43.50, 42.90, 43.08, 74503
04/13/21, 43.76, 43.87, 42.69, 42.70, 124464
04/12/21, 43.61, 43.96, 43.61, 43.69, 76971
04/09/21, 43.64, 44.04, 43.02, 43.64, 115620
04/08/21, 43.72, 43.77, 43.10, 43.10, 116488
04/07/21, 43.70, 44.29, 43.12, 44.22, 148066
04/06/21, 44.00, 44.15, 43.25, 43.35, 177410
04/05/21, 44.63, 45.19, 44.22, 44.28, 140827
04/01/21, 44.66, 45.0458, 43.581, 43.72, 269864
03/31/21, 45.10, 46.40, 44.84, 45.77, 224163
03/30/21, 46.09, 46.428, 44.85, 45.16, 203956
03/29/21, 44.49, 46.39, 44.49, 45.94, 198858
